name,Networked Electrolysis: St Fergus,Networked Electrolysis: Grangemouth,Networked Electrolysis: Teesside,Networked Electrolysis: Humberside,Networked Electrolysis: Theddlethorpe,Networked Electrolysis: Merseyside,Networked Electrolysis: Barrow,Networked Electrolysis: Bacton,Networked Electrolysis: Grain LNG,Networked Electrolysis: Southampton,Networked Electrolysis: South Wales,Non-networked Electrolysis: St Fergus,Non-networked Electrolysis: Grangemouth,Non-networked Electrolysis: Teesside,Non-networked Electrolysis: Humberside,Non-networked Electrolysis: Theddlethorpe,Non-networked Electrolysis: Merseyside,Non-networked Electrolysis: Barrow,Non-networked Electrolysis: Bacton,Non-networked Electrolysis: Grain LNG,Non-networked Electrolysis: Southampton,Non-networked Electrolysis: South Wales
2050-07-17 10:00:00,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.21252204405827552,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286,0.17522528651013286
2050-07-17 11:00:00,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.17960924091594446,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288,0.21370496363410288
2050-07-17 12:00:00,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2037770300760935,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792,0.2548021151966792
2050-07-17 13:00:00,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.2488817242188588,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625,0.28373108499544625
2050-07-17 14:00:00,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.3072825833949876,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816,0.28700342834435816
2050-07-17 15:00:00,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.34812829750371577,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544,0.2910055765155544
2050-07-17 16:00:00,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.39267283770173117,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847,0.28629070702771847
2050-07-17 17:00:00,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.4066989559601922,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208,0.2846478070094208
2050-07-17 18:00:00,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.4134797051317415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415,0.2731170774852415
2050-07-17 19:00:00,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.42647434689248265,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908,0.2707684312697908
